Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
15570023,2016/2/26 10:15,2016/2/26 10:24,70044,543,1020,42nd and Penn Ave.,1023,Liberty Ave & Baum Blvd,Subscriber
15570045,2016/2/26 10:18,2016/2/26 10:23,70465,307,1038,Boulevard of the Allies & Parkview Ave,1037,Frew St & Schenley Dr,Subscriber
15570198,2016/2/26 10:38,2016/2/26 10:44,70473,406,1024,S Negley Ave & Baum Blvd,1025,Penn Ave & N Fairmount St,Customer
15570220,2016/2/26 10:40,2016/2/26 10:46,70328,313,1044,Zulema St & Coltart Ave,1040,Bigelow Blvd & Fifth Ave,Subscriber
15571032,2016/2/26 12:28,2016/2/26 12:35,70246,464,1037,Frew St & Schenley Dr,1044,Zulema St & Coltart Ave,Subscriber
15571196,2016/2/26 12:52,2016/2/26 12:56,70376,234,1039,Atwood St & Bates St,1041,Fifth Ave & S Bouquet St,Subscriber
15571382,2016/2/26 13:25,2016/2/26 13:32,70359,420,1024,S Negley Ave & Baum Blvd,1029,Alder St & S Highland Ave,Subscriber
15571627,2016/2/26 14:15,2016/2/26 14:20,70469,299,1038,Boulevard of the Allies & Parkview Ave,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Subscriber
15571727,2016/2/26 14:43,2016/2/26 14:59,70435,957,1040,Bigelow Blvd & Fifth Ave,1038,Boulevard of the Allies & Parkview Ave,Subscriber
15571811,2016/2/26 15:00,2016/2/26 15:17,70209,1049,1014,Ridge Ave & Brighton Rd (CCAC),1001,Forbes Ave & Market Square,Subscriber
15571901,2016/2/26 15:31,2016/2/26 15:37,70424,363,1048,S 18th St & Sidney St,1045,S 27th St & Tunnel Blvd (Southside Works),Subscriber
15571997,2016/2/26 16:05,2016/2/26 16:26,70351,1282,1014,Ridge Ave & Brighton Rd (CCAC),1014,Ridge Ave & Brighton Rd (CCAC),Customer
15572043,2016/2/26 16:24,2016/2/26 16:30,70334,398,1020,42nd and Penn Ave.,1023,Liberty Ave & Baum Blvd,Subscriber
15572062,2016/2/26 16:30,2016/2/26 16:39,70248,513,1006,Ross St & Sixth Ave (Steel Plaza T Station),1049,S 12th St & E Carson St,Subscriber
15572121,2016/2/26 16:50,2016/2/26 17:08,70353,1123,1020,42nd and Penn Ave.,1000,Liberty Ave & Stanwix St,Subscriber
15572147,2016/2/26 17:02,2016/2/26 17:09,70405,407,1001,Forbes Ave & Market Square,1008,Centre Ave & Consol Energy Center,Subscriber
15572172,2016/2/26 17:13,2016/2/26 17:17,70328,222,1040,Bigelow Blvd & Fifth Ave,1035,Fifth Ave & S Dithridge St,Subscriber
15572181,2016/2/26 17:16,2016/2/26 17:39,70408,1356,1011,Fort Duquesne Blvd & 7th St,1049,S 12th St & E Carson St,Subscriber
15572218,2016/2/26 17:32,2016/2/26 17:35,70295,162,1031,Maryland Ave & Ellsworth Ave,1032,Maryland Ave & Walnut St,Subscriber
15572225,2016/2/26 17:35,2016/2/26 17:44,70298,510,1005,Forbes Ave & Grant St,1049,S 12th St & E Carson St,Subscriber
15572227,2016/2/26 17:37,2016/2/26 18:03,70284,1531,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1004,First Ave & B St (T Station),Customer
15572266,2016/2/26 17:49,2016/2/26 18:11,70294,1316,1004,First Ave & B St (T Station),1046,S 25th St & E Carson St,Customer
15572278,2016/2/26 17:56,2016/2/26 21:09,70023,11634,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Subscriber
15572312,2016/2/26 18:09,2016/2/26 18:12,70409,164,1041,Fifth Ave & S Bouquet St,1039,Atwood St & Bates St,Customer
15572371,2016/2/26 18:34,2016/2/26 18:38,70371,239,1044,Zulema St & Coltart Ave,1041,Fifth Ave & S Bouquet St,Subscriber
15572379,2016/2/26 18:36,2016/2/26 18:45,70354,548,1023,Liberty Ave & Baum Blvd,1020,42nd and Penn Ave.,Subscriber
15572417,2016/2/26 18:52,2016/2/26 18:57,70371,299,1041,Fifth Ave & S Bouquet St,1044,Zulema St & Coltart Ave,Subscriber
15572444,2016/2/26 19:10,2016/2/26 19:22,70239,762,1041,Fifth Ave & S Bouquet St,1041,Fifth Ave & S Bouquet St,Customer
