"","StationId","Month","Day","Year","Hour","Bike_out","MeanOfTripDuration_1","MedianOfTripDuration_1","MeanOfTripDuration_2","MedianOfTripDuration_2","Customer","Daily","Subscriber","Unknown","Bike_in"
"69",1000,"7","14","2015","4",0,0,0,0,0,0,0,0,0,1
"70",1000,"7","14","2015","8",0,0,0,0,0,0,0,0,0,2
"71",1000,"7","15","2015","11",1,2190,2190,2190,2190,0,0,1,0,0
"72",1000,"7","15","2015","12",2,1312.5,1312.5,1312.5,1312.5,0,0,2,0,1
"73",1000,"7","15","2015","15",0,0,0,0,0,0,0,0,0,1
"74",1000,"7","15","2015","16",1,595,595,595,595,0,0,1,0,0
"75",1000,"7","15","2015","17",1,1295,1295,1295,1295,0,0,1,0,1
"76",1000,"7","15","2015","18",2,1614.5,1614.5,1614.5,1614.5,1,0,1,0,0
"77",1000,"7","15","2015","21",1,406,406,406,406,1,0,0,0,0
"78",1000,"7","15","2015","8",0,0,0,0,0,0,0,0,0,1
"79",1000,"7","15","2015","9",0,0,0,0,0,0,0,0,0,1
"80",1000,"7","16","2015","10",0,0,0,0,0,0,0,0,0,1
"81",1000,"7","16","2015","11",1,74,74,74,74,0,0,1,0,2
"82",1000,"7","16","2015","12",1,1827,1827,1827,1827,0,0,1,0,0
"83",1000,"7","16","2015","13",1,2830,2830,2830,2830,0,0,1,0,0
"84",1000,"7","16","2015","14",0,0,0,0,0,0,0,0,0,2
"85",1000,"7","16","2015","15",0,0,0,0,0,0,0,0,0,2
"86",1000,"7","16","2015","16",0,0,0,0,0,0,0,0,0,1
"87",1000,"7","16","2015","17",3,915,1117,915,1117,2,0,1,0,2
"88",1000,"7","16","2015","18",6,1301.5,1382,1301.5,1382,6,0,0,0,2
"89",1000,"7","16","2015","19",4,2226.5,2102.5,2226.5,2102.5,2,0,2,0,1
"90",1000,"7","16","2015","20",2,1672,1672,1672,1672,2,0,0,0,4
"91",1000,"7","16","2015","21",0,0,0,0,0,0,0,0,0,4
"92",1000,"7","16","2015","22",0,0,0,0,0,0,0,0,0,2
"93",1000,"7","16","2015","23",0,0,0,0,0,0,0,0,0,1
"94",1000,"7","16","2015","6",1,348,348,348,348,1,0,0,0,0
"95",1000,"7","16","2015","8",1,311,311,311,311,0,0,1,0,1
"96",1000,"7","16","2015","9",0,0,0,0,0,0,0,0,0,1
"97",1000,"7","17","2015","11",1,1227,1227,1227,1227,1,0,0,0,0
"98",1000,"7","17","2015","12",2,0,0,4576,4576,2,0,0,0,0
"99",1000,"7","17","2015","13",0,0,0,0,0,0,0,0,0,1
"100",1000,"7","17","2015","14",1,2865,2865,2865,2865,1,0,0,0,1
"101",1000,"7","17","2015","16",1,778,778,778,778,0,0,1,0,0
"102",1000,"7","17","2015","17",4,1635,1562.5,1635,1562.5,2,0,2,0,4
"103",1000,"7","17","2015","18",0,0,0,0,0,0,0,0,0,2
"104",1000,"7","17","2015","19",0,0,0,0,0,0,0,0,0,2
"105",1000,"7","17","2015","20",2,2098,2098,2098,2098,2,0,0,0,1
"106",1000,"7","17","2015","21",0,0,0,0,0,0,0,0,0,1
"107",1000,"7","17","2015","23",1,540,540,540,540,0,0,1,0,0
"108",1000,"7","17","2015","6",0,0,0,0,0,0,0,0,0,1
"109",1000,"7","17","2015","8",1,292,292,292,292,0,0,1,0,0
"110",1000,"7","17","2015","9",1,1333,1333,1333,1333,0,0,1,0,1
"111",1000,"7","18","2015","0",5,347,347,3175,4751,5,0,0,0,1
"112",1000,"7","18","2015","1",1,36,36,36,36,1,0,0,0,3
"113",1000,"7","18","2015","10",1,365,365,365,365,1,0,0,0,1
"114",1000,"7","18","2015","11",3,1348,1476,1348,1476,3,0,0,0,0
"115",1000,"7","18","2015","12",2,0,0,3764,3764,2,0,0,0,0
"116",1000,"7","18","2015","13",8,1254.5,1254.5,3646.57142857143,4587,7,0,1,0,1
"117",1000,"7","18","2015","14",1,1336,1336,1336,1336,1,0,0,0,6
"118",1000,"7","18","2015","15",2,1160,1160,1160,1160,2,0,0,0,0
"119",1000,"7","18","2015","16",3,2762,2762,2762,2762,3,0,0,0,3
