TripId,StartTime,StopTime,BikeId,TripDuration,FromStationId,FromStationName,ToStationId,ToStationName,UserType
15198668,2015/12/2 17:08,2015/12/2 17:14,70037,409,1037,Frew St. & Schenley Dr.,1034,Ellsworth Ave & N Neville St,Customer
15198695,2015/12/2 17:19,2015/12/2 17:36,70109,1019,1020,42nd St & Penn Ave (Children's Hospital),1000,Liberty Ave & Stanwix St.,Subscriber
15198723,2015/12/2 17:30,2015/12/2 17:41,70369,654,1020,42nd St & Penn Ave (Children's Hospital),1022,Liberty Ave & S Milvalle Ave --West Penn Hospital ,Subscriber
15198739,2015/12/2 17:37,2015/12/2 17:51,70115,863,1002,Third Ave & Wood St,1048,S 18th St & Sidney St,Customer
15198767,2015/12/2 17:46,2015/12/2 17:46,70252,15,1000,Liberty Ave & Stanwix St.,1000,Liberty Ave & Stanwix St.,Customer
15198781,2015/12/2 17:51,2015/12/2 17:59,70081,462,1005,Forbes Ave & Grant St,1017,21st St & Penn Ave,Customer
15198788,2015/12/2 17:54,2015/12/2 18:05,70052,666,1034,Ellsworth Ave & N Neville St,1021,Taylor St & Liberty Ave,Subscriber
15198807,2015/12/2 18:00,2015/12/2 18:09,70002,538,1023,Liberty Ave & Baum Blvd,1020,42nd St & Penn Ave (Children's Hospital),Subscriber
15198838,2015/12/2 18:10,2015/12/2 18:10,70274,12,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
15198860,2015/12/2 18:18,2015/12/2 18:48,70466,1794,1005,Forbes Ave & Grant St,1049,S 12th St & E Carson St,Customer
15198868,2015/12/2 18:22,2015/12/2 18:28,70390,385,1043,Coltart Ave & Forbes Ave,1036,Schenley Dr at Schenley Plaza (Carnegie Library,
15198887,2015/12/2 18:31,2015/12/2 18:33,70353,82,1009,12th St & Penn Ave,1009,12th St & Penn Ave,Subscriber
15198898,2015/12/2 18:36,2015/12/2 18:42,70190,359,1030,S Euclid Ave & Centre Ave,1023,Liberty Ave & Baum Blvd,Subscriber
15198921,2015/12/2 18:48,2015/12/2 18:54,70203,372,1026,S Whitfield St & Baum Blvd,1033,Ivy St & Walnut St,Subscriber
15198932,2015/12/2 18:53,2015/12/2 18:59,70468,356,1000,Liberty Ave & Stanwix St.,1012,North Shore Trail & Fort Duquesne Bridge,Subscriber
15198935,2015/12/2 18:54,2015/12/2 18:57,70195,148,1020,42nd St & Penn Ave (Children's Hospital),1019,42nd St & Butler St,Customer
15198944,2015/12/2 19:00,2015/12/2 19:14,70212,800,1037,Frew St. & Schenley Dr.,1033,Ivy St & Walnut St,Customer
15198965,2015/12/2 19:09,2015/12/2 19:14,70499,347,1036,Schenley Dr at Schenley Plaza (Carnegie Library,,,
15198968,2015/12/2 19:10,2015/12/2 19:16,70333,351,1016,17th St & Penn Ave,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Subscriber
15198985,2015/12/2 19:20,2015/12/2 19:27,70401,398,1044,Zulema St & Coltart Ave,1035,Fifth Ave & S Dithridge St,Subscriber
15199005,2015/12/2 19:36,2015/12/2 19:41,70146,287,1005,Forbes Ave & Grant St,1001,Forbes Ave & Market Square,Subscriber
15199117,2015/12/2 21:18,2015/12/2 21:24,70401,358,1035,Fifth Ave & S Dithridge St,1044,Zulema St & Coltart Ave,Subscriber
15199137,2015/12/2 22:27,2015/12/2 22:37,70047,598,1035,Fifth Ave & S Dithridge St,1033,Ivy St & Walnut St,Subscriber
15199140,2015/12/2 22:30,2015/12/2 22:40,70497,612,1024,S Negley Ave & Baum Blvd,1040,Bigelow Blvd & 5th Ave,Customer
15199142,2015/12/2 22:35,2015/12/2 22:38,70422,162,1004,First Ave & B St (T Station),1003,First Ave & Smithfield St (Art Institute),Subscriber
15199149,2015/12/2 23:06,2015/12/2 23:12,70360,313,1037,Frew St. & Schenley Dr.,1038,Boulevard of the Allies & Parkview Ave,Subscriber
15199150,2015/12/2 23:06,2015/12/2 23:14,70448,472,1040,Bigelow Blvd & 5th Ave,1038,Boulevard of the Allies & Parkview Ave,Subscriber
15199257,2015/12/3 0:41,2015/12/3 0:54,70228,756,1040,Bigelow Blvd & 5th Ave,1038,Boulevard of the Allies & Parkview Ave,Subscriber
15201325,2015/12/3 5:49,2015/12/3 5:59,70012,593,1033,Ivy St & Walnut St,1041,Fifth Ave & S Bouquet St,Subscriber
15201480,2015/12/3 6:11,2015/12/3 6:26,70024,936,1047,S 22nd St & E Carson St,1000,Liberty Ave & Stanwix St.,Subscriber
15201663,2015/12/3 6:42,2015/12/3 7:04,70317,1342,1025,Penn Ave & N Fairmount St,1001,Forbes Ave & Market Square,Subscriber
15202105,2015/12/3 7:44,2015/12/3 7:50,70081,361,1017,21st St & Penn Ave,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Subscriber
15202135,2015/12/3 7:48,2015/12/3 7:53,70394,284,1029,Alder St & S Highland Ave,1028,Penn Ave & Putnam St -- Bakery Square,Subscriber
15202263,2015/12/3 8:07,2015/12/3 8:14,70448,396,1038,Boulevard of the Allies & Parkview Ave,1040,Bigelow Blvd & 5th Ave,Subscriber
15202265,2015/12/3 8:07,2015/12/3 8:12,70243,307,1038,Boulevard of the Allies & Parkview Ave,1041,Fifth Ave & S Bouquet St,Subscriber
15202319,2015/12/3 8:18,2015/12/3 8:25,70373,434,1034,Ellsworth Ave & N Neville St,1037,Frew St. & Schenley Dr.,Subscriber
15202521,2015/12/3 8:46,2015/12/3 8:56,70452,652,1032,Maryland Ave & Walnut St,1037,Frew St. & Schenley Dr.,Subscriber
15202615,2015/12/3 9:00,2015/12/3 9:14,70439,854,1021,Taylor St & Liberty Ave,1040,Bigelow Blvd & 5th Ave,Customer
15202618,2015/12/3 9:00,2015/12/3 9:07,70002,438,1020,42nd St & Penn Ave (Children's Hospital),1023,Liberty Ave & Baum Blvd,Subscriber
15202673,2015/12/3 9:08,2015/12/3 9:17,70120,508,1015,Federal St & E North Ave,1002,Third Ave & Wood St,Subscriber
15202719,2015/12/3 9:16,2015/12/3 9:21,70228,301,1038,Boulevard of the Allies & Parkview Ave,1036,Schenley Dr at Schenley Plaza (Carnegie Library,
15202749,2015/12/3 9:19,2015/12/3 9:39,70497,1193,1040,Bigelow Blvd & 5th Ave,1028,Penn Ave & Putnam St -- Bakery Square,Subscriber
